name,rate,review_cnt,city,state,business_id,latitude,longitude,categories
Bacari Silverlake,4.5,1762,Los Angeles,CA,sXdOBghhw-ZU9S-1HxVZVA,34.09031981540568,-118.2775804," Mediterranean, Breakfast & Brunch, Cocktail Bars"
Gangnam Station Korean BBQ,4.5,331,Los Angeles,CA,Xcl1eK5jHzx6x7wOKRWWDg,34.06186,-118.30848," Korean, Barbeque, Buffets"
Jail Joa,4.5,124,Los Angeles,CA,UN8HcPrLMRnUx3cv2D3-5A,34.0567,-118.28227," Gastropubs, Korean, Asian Fusion"
Jon & Vinny's Fairfax,4.0,2188,Los Angeles,CA,sPw1o5OYWE5C2JtbTXp5wg,34.0786401,-118.3613451," Italian, Breakfast & Brunch, Pizza"
Junkyard Dog,5.0,24,Los Angeles,CA,_s3jlSbTZVvWSAt8_cEyWg,34.09516,-118.28382," Bars, Breakfast & Brunch, Vegan"
Mama Shelter Rooftop Bar,3.5,734,Los Angeles,CA,8LdFAPdaWMg9sVRgmRv0NQ,34.0996099751367,-118.331350050867," American (New), Cocktail Bars, Wine Bars"
LAON,5.0,72,Los Angeles,CA,tpq6x8ksSE-miLP1JbiOmw,34.06056,-118.29931," American (New), Italian"
Osteria La Buca,4.0,2164,Los Angeles,CA,GKQApReu8U9hip4A2ApJ_A,34.0833366755519,-118.31393718099," Italian, Pizza, Cocktail Bars"
Mother Wolf,4.0,273,Los Angeles,CA,V_t4QBPg-eC9-rpD1TRYQg,34.09932,-118.33115, Italian
Openaire,3.5,1330,Los Angeles,CA,eCfyO7laigVXu5VnaPcdmQ,34.06215,-118.30098," American (New), Breakfast & Brunch"
JOEY DTLA,4.0,2072,Los Angeles,CA,_n0fEUZdbkLOimHz_IXkiQ,34.04802842513478,-118.2580505451759, American (New)
Morrison Atwater Village,4.5,5828,Los Angeles,CA,DJek3FUewBzMc0gS-Gms9w,34.12384,-118.26868," Gastropubs, Burgers, Salad"
Pine & Crane,4.5,2726,Los Angeles,CA,ohosmz6FXVAeoW5nUkYwng,34.0905963760163,-118.277172084005," Taiwanese, Chinese, Bubble Tea"
Mr. T,4.5,23,Los Angeles,CA,LJEsTC6Juzr0lL-hla7nVw,34.08865,-118.34291, French
Woo Hyang Woo,4.5,866,Los Angeles,CA,UaxSpacBpGQrXv9Cytai2A,34.063763,-118.296482," Korean, Barbeque, Bars"
Perch,4.0,9391,Los Angeles,CA,K-Fbh2WCHlqR56H9TnfpNA,34.04897,-118.2514," Lounges, French, Breakfast & Brunch"
Firefly,4.0,2852,Studio City,CA,S3z6erO2TeljEc-dTPqc9Q,34.141468,-118.388418," American (New), Lounges, Cocktail Bars"
Cara Cara,4.0,288,Los Angeles,CA,VndWkH3-0P1c23BZiuuAbg,34.03941,-118.25893," American (New), Cocktail Bars"
Louders,4.5,354,Los Angeles,CA,ccJcaRCHQkJmmnGC1SN4hQ,34.06309,-118.29754," Chicken Wings, Cajun/Creole, Asian Fusion"
"The Butcher, The Baker, The Cappuccino Maker",4.0,2505,West Hollywood,CA,0MbnNM2IvNWMQ1YsPfDTjQ,34.0921328,-118.3805803, American (New)
OSTE,5.0,380,West Hollywood,CA,3FlrvSaW-TSwkQDsCpKYEg,34.07211,-118.367363," Italian, Pizza"
Yup Dduk LA,4.5,2303,Los Angeles,CA,DrToq9357afdpOyO5w0Y5w,34.064009,-118.3007013," Korean, Chicken Shop"
BROKEN MOUTH | Lee's Homestyle,5.0,1318,Los Angeles,CA,CcqraT0cuGKYEcZ1ri_kxg,34.04275,-118.25081," Hawaiian, Korean, Comfort Food"
Bao Dim Sum House,4.0,3369,Los Angeles,CA,kdTFcDSl9vAR-btEm1Q2uw,34.07577,-118.36982," Dim Sum, Bars, Tapas/Small Plates"
Casablanca Moroccan kitchens,5.0,317,Los Angeles,CA,dNxZ53R6QUYOFtd2q0-S2Q,34.0837244,-118.3423348, Moroccan
Gracias Madre - West Hollywood,4.0,4756,West Hollywood,CA,EWbbiUBkGzCYrEoOF05HzA,34.0807951106153,-118.386972025037," Mexican, Vegan, Vegetarian"
Olivia,5.0,95,Los Angeles,CA,e0Vs3U-XkLkZ7EJ6JgPAYQ,34.07033323610607,-118.2921764," Vegetarian, Pizza, Vegan"
Lolo,4.0,85,Los Angeles,CA,-gZdC8aD42jiBeaAQH1-1g,34.097885,-118.302049," Wine Bars, American (New)"
Wood,4.0,946,Los Angeles,CA,F2W1R7yIvSOqD1xH_F1cZA,34.08292,-118.27289," Pizza, Italian, Wine Bars"
Majordomo,4.0,1191,Los Angeles,CA,4Zx7Lw4U6F0sXrV4aiIyqQ,34.0690575,-118.226105," American (New), Asian Fusion, Korean"
Rich Crab,4.5,124,Los Angeles,CA,KDcTFp2P40ycRj12GKKcXg,34.0691249,-118.3072344," Korean, Seafood, Soup"
Han Bat Sul Lung Tang,4.5,2569,Los Angeles,CA,uzAbw27XQTXTivjgf2bN2w,34.065414,-118.3095703125," Korean, Comfort Food, Soup"
Mes Amis,4.5,46,Los Angeles,CA,seiRoxoYszQt62oDq1J_-g,34.09913,-118.33118," French, Brasseries"
etta,4.5,611,Culver City,CA,f8nMwVf1kYndUo8V1OdGjA,34.02806083637388,-118.38729323543357," American (New), Breakfast & Brunch, Cocktail Bars"
La Pergoletta,4.5,1165,Los Angeles,CA,-KqNRM-drDM7Nu9i9xEnfA,34.1037812,-118.2872479, Italian
Bottega Louie,4.0,17742,Los Angeles,CA,TkFEKhsCixPWlShULKvMdQ,34.047056,-118.256544," Italian, Desserts, Breakfast & Brunch"
Kobawoo House,4.5,1362,Los Angeles,CA,TWHGJkTAbF22hvXeReQp9w,34.060116,-118.291004," Korean, Soup, Seafood"
Chang Hwa Dang,4.5,167,Los Angeles,CA,y4X0KfHJ5XWwxMIRukVr1Q,34.06229367,-118.29757617, Korean
Good Goose Cafe,5.0,196,Los Angeles,CA,NQqA1cjS0rHn_96VwtnhMg,34.07603,-118.32399," Asian Fusion, Thai"
Hello Fish,4.5,369,Los Angeles,CA,XMRFH5LF0zL_g_8Q7vzcaA,34.066667,-118.3088658," Sushi Bars, Japanese, Salad"
Sanamluang Cafe Hollywood,4.0,1792,Los Angeles,CA,AyZUXwC5E-U6WInXGqcmcA,34.1014312,-118.3029659, Thai
Sparrow,4.0,276,Los Angeles,CA,l9CyWFbCaU6Wk6b8Tc4i8Q,34.04561,-118.26422," Italian, Mediterranean"
MIAN | 滋味小面,4.0,284,Los Angeles,CA,JxSNu4tMyiRe6WK7YW9GAg,34.03266,-118.35751," Chinese, Noodles"
Ahgassi Gopchang,4.5,1973,Los Angeles,CA,INEbr7OmgiqlMWq5Cta8WA,34.0634067908259,-118.30388175744," Korean, Barbeque"
Supremo,4.5,307,Los Angeles,CA,RarITW4zBvhqKAK8FVOFCQ,34.05867,-118.34578, Italian
Pasta Sisters,4.5,1860,Los Angeles,CA,AIhWsp8yNfKZfaX9d9Yajg,34.0476,-118.317234," Delis, Italian, Sandwiches"
Marugame Monzo,4.5,4281,Los Angeles,CA,fxeuGYnoRWwm5aGDg1FRJA,34.04994760027338,-118.24004464723886," Japanese, Noodles, Asian Fusion"
No Worries Curry,4.5,4,Los Angeles,CA,cZpGR8nYJXD-PfAYcdCvwQ,34.08217,-118.30929, Indian
Meteora,4.0,124,Los Angeles,CA,VjCMQkJviJquiJQEawPWfw,34.08359,-118.33985, American (New)
TAO Asian Bistro,4.0,1376,Los Angeles,CA,KF0iy1GeuDYm_1EyyVD6ig,34.1001186,-118.3303917," Asian Fusion, Lounges"
Dave's Hot Chicken,4.5,3680,Los Angeles,CA,6i7KnRylm4bhPIApDFSVCg,34.0880681,-118.308962," Chicken Shop, Halal"
Fixins Soul Kitchen - Los Angeles,4.5,906,Los Angeles,CA,PI1TAMjFy1wO9OCiA-VWBA,34.04484,-118.26453," Soul Food, Comfort Food, American (Traditional)"
Grandmaster Recorders,4.0,176,Los Angeles,CA,JqAjeYMIRTkMpsvsZpqscw,34.0986175537109,-118.329124450684," Lounges, Italian, Cocktail Bars"
The Sisters Cafe,4.5,266,Los Angeles,CA,2XiO4xWGuSl5Bz1LQMQHQw,34.097813,-118.318449," Vietnamese, Asian Fusion"
Bossa Nova on Sunset,3.5,3556,Los Angeles,CA,uMY7uC9m7HxRNAZGkjtdbA,34.09825191495754,-118.34655067471323," Brazilian, Pizza, Sandwiches"
Stout Burgers & Beers,4.0,2288,Los Angeles,CA,71W-QN3-_DHnzUkAc7EG6Q,34.09942,-118.32934," Burgers, Gastropubs, American (Traditional)"
H&H Brazilian Steakhouse Downtown LA,4.5,823,Los Angeles,CA,KAG0aFy962JY38UeWI8pWQ,34.04665,-118.25616," Brazilian, Steakhouses, Venues & Event Spaces"
Chuck's Chicken & Waffles,1.0,4,Los Angeles,CA,CNuWFfn8Xc7s6kKhIve2Sw,34.0982,-118.3537," Food Delivery Services, Chicken Wings, Waffles"
HanShik Express,4.5,114,Los Angeles,CA,v93hPyb_VYFHYz7t_jAlhw,34.06204,-118.3133," Korean, Fast Food, Tacos"
Maccheroni Republic,4.5,3572,Los Angeles,CA,gd6PYDx-leOM97a3MWoO1g,34.0500282776566,-118.24852800000085," Italian, Wine Bars"
Hot Motha Clucker,4.5,151,Los Angeles,CA,zdjoo1GrpBgCNjgBB5h4_Q,34.101913,-118.336041," Bars, American (Traditional), Sandwiches"
Formosa Cafe,4.0,517,West Hollywood,CA,JD6tyqraOsi5xF10J0KEwQ,34.09030433,-118.34603833," Asian Fusion, Cocktail Bars"
Hoy-Ka Thai Restaurant,4.5,2127,Los Angeles,CA,BzmbRSKGs56Yw2w2R12khw,34.09784367,-118.31833767," Thai, Noodles"
ABSteak By Chef Akira Back,4.5,129,Los Angeles,CA,G55h6ynD4aFY0D_3TyAYpA,34.073699,-118.377065," Steakhouses, Korean, Barbeque"
Bestia,4.5,7035,Los Angeles,CA,fEY0zHaDMfIW3-N__joDKQ,34.03402,-118.22919," Italian, Cocktail Bars, Pizza"
Kali Restaurant,4.5,699,Los Angeles,CA,0vRsHjV66oUDcszA8EWq0w,34.0833651,-118.3242882, American (New)
Alta West Adams,3.5,620,Los Angeles,CA,qX4i4xyc-8Im4PLpJX-L8g,34.03278,-118.35994," Soul Food, Comfort Food, American (New)"
Jones,4.0,1178,West Hollywood,CA,bXfIgNNhPrfuvtQhCy7KMQ,34.0908449,-118.34645," Italian, Pizza, Cocktail Bars"
Marlou DTLA,4.5,169,Los Angeles,CA,sSlFeRTzdCkkLO8mXBQG7Q,34.04688,-118.26067," American (New), Cocktail Bars, Breakfast & Brunch"
OTOTO,4.0,102,Los Angeles,CA,gAMhVggfelvAxE40Bg-ywQ,34.07293667,-118.25160283," Bars, Japanese"
Bavel,4.5,1940,Los Angeles,CA,wo3wnj3pMSOPkzqpvbey-g,34.04151,-118.23261, Middle Eastern
Hanshin Pocha LA,4.0,95,Los Angeles,CA,30p6BV9aLHDynFoYcA7Mag,34.06316917,-118.29856667, Korean
Little Sister,4.0,1683,Los Angeles,CA,gjPZZzmkVANey4vGFYmC7A,34.0471743,-118.2561652, Vietnamese
SHIN,4.0,989,Los Angeles,CA,VhKyyEcOll0rrOLAbZio3Q,34.101362,-118.3454937," Japanese, Sushi Bars, Noodles"
Found Oyster,4.5,214,Los Angeles,CA,U0-5DL9r3JJk6Vn7E2XK8A,34.095237,-118.295817, Seafood
Fat Sal's Deli - Hollywood,4.0,2508,Los Angeles,CA,6QeZEUhFk1_vZhWvktKnmA,34.09469,-118.33826," Sandwiches, Burgers"
The Rooftop at The Wayfarer Downtown LA,3.5,504,Los Angeles,CA,1mb6fp_JRp4Y68GStJsGIQ,34.0472242,-118.2609078," American (New), Cocktail Bars, Tiki Bars"
Cabra,4.5,275,Los Angeles,CA,bJvQKjdfoSVoEDSca9hfHg,34.03973,-118.25852, Peruvian
Gamsung Pocha,5.0,10,Los Angeles,CA,CBnXC267v0gjZVKWVWaNOA,34.05755,-118.29386," Korean, Pubs"
Mario's Peruvian & Seafood,4.0,2506,Los Angeles,CA,Fb3WueRF1ekhs72psinq5w,34.0833651,-118.3262166," Seafood, Peruvian"
Ruen Pair,4.0,1946,Los Angeles,CA,UdpE_5k2c3zsGBFdcAjMGA,34.102092,-118.305451646447, Thai
Magari,4.0,97,Los Angeles,CA,MRfyb8R-M7rgJZzSOqbNJA,34.09868,-118.32279," Japanese, Italian, Pizza"
EMC Seafood & Raw Bar,4.0,3390,Los Angeles,CA,4LFbJ8P4jCh70ZNKRig0qw,34.06346,-118.29849," Seafood, Live/Raw Food, Sushi Bars"
Double Trouble Union,5.0,118,Los Angeles,CA,oXyxZyThhEGJBompHTvbEQ,34.06371,-118.29847," Breakfast & Brunch, Burgers, Beer Bar"
Yuk Dae Jang,4.5,682,Los Angeles,CA,3C2wUqSkpY4-N0O5ArVjwQ,34.0640411376953,-118.288063049316," Korean, Comfort Food, Soup"
Assa Dakbal,5.0,13,Los Angeles,CA,Nb6Qle4iE3eQsUe_rAR6EQ,34.061451281250044,-118.3130101," Korean, Bars"
ixlb DimSum Eats,4.5,854,Los Angeles,CA,6b1Kud4nDwsqw1kILxI9ZQ,34.09779,-118.3183," Dim Sum, Hong Kong Style Cafe"
Cafe the Barn,4.0,173,Los Angeles,CA,x-EWqvDTcQV3CfuGDG0-2Q,34.070284,-118.307553," Cafes, Korean, American (New)"
Providence,4.5,2866,Los Angeles,CA,TzIJzamxdVGc3zReKbLGaA,34.083628,-118.330168," American (New), Seafood"
Musso & Frank Grill,4.0,1976,Hollywood,CA,ld3O8sfn0-z-JKBJdofz2g,34.101802,-118.335394," Steakhouses, American (Traditional), Bars"
The Kluckin Chicken,4.5,418,Los Angeles,CA,QHqdoF0ZvI-RXFIJwE5vLw,34.083368,-118.3100158, Chicken Shop
DAMA,4.5,966,Los Angeles,CA,-9NXuo0g_NwOPfnKX3Vr_g,34.0352819442964,-118.253066191412," Latin American, Cocktail Bars, Wine Bars"
Manzke,4.5,36,Los Angeles,CA,ePBR5sUMgUg9hFW20d5jeA,34.055389703322575,-118.39760127408341," Modern European, Seafood"
Vernetti,4.0,375,Los Angeles,CA,TNkfaiMFw1e6dKWxTtGJHw,34.07534,-118.32399," Italian, Breakfast & Brunch"
Soulmate,4.0,332,West Hollywood,CA,jwCo4mgxtxf0hlyz6fNlzQ,34.08172,-118.38582," Mediterranean, Spanish, Cocktail Bars"
Eat This Cafe,4.5,1872,Los Angeles,CA,GbAZbcCR969hfa4kCQqRcw,34.090825,-118.3323209," Breakfast & Brunch, Sandwiches, Cocktail Bars"
Off Vine Restaurant,4.0,986,Hollywood,CA,ifl816Qs9aLF8WTpLmh-Bw,34.097313,-118.325975," American (New), Breakfast & Brunch, Wine Bars"
Wood & Vine,3.5,1512,Los Angeles,CA,3n3D8WCVKDgMLYlL0Tv8Tg,34.1014405415506,-118.326316136051," American (New), Cocktail Bars"
Otium,4.0,2236,Los Angeles,CA,G_V5eJFfYlTEERyIPR-8MQ,34.054358,-118.251339, American (New)
Seong Buk Dong,4.0,1198,Los Angeles,CA,Dnn4_XmzQxOFNpnqh7KyWg,34.0637349,-118.2943728, Korean
hanchic.,4.5,307,Los Angeles,CA,hI1lsLwckjRqoYt1zHrVVA,34.056578,-118.282535," Korean, Wine Bars, Tapas Bars"
Tatsu Ramen,4.0,3942,Los Angeles,CA,E4W2T89vm4hmBwk39EoUuw,34.0836332933004,-118.34466214165637, Ramen
Employees Only,4.0,406,West Hollywood,CA,ALF79fQM2QhMfsBhwPATng,34.0910009082559,-118.363145592593," Cocktail Bars, American (New)"
Little Jewel of New Orleans,4.0,1905,Los Angeles,CA,e8yeADAtTGRyzkOLG5iKSg,34.060099,-118.238083," Delis, Grocery, Cajun/Creole"
Strada Eateria & Bar,4.5,625,Los Angeles,CA,yQVPKXmDIUb6yH3MM8Q3nQ,34.04681,-118.26348," Tapas/Small Plates, Bars, American (New)"
KazuNori Koreatown,4.5,65,Los Angeles,CA,VqatIMkoea_OMvHaD2PwOw,34.06371,-118.29727, Sushi Bars
Craig's,4.0,1136,West Hollywood,CA,WkM87Xr2NIECZU_KXKCm8Q,34.08056,-118.38652," American (New), Cocktail Bars, Breakfast & Brunch"
Three Borders Brunch & Grill,5.0,566,Los Angeles,CA,cAwkHVjhAJpsZOayXgUIHw,34.0574402282966,-118.345157057047," Breakfast & Brunch, American (New), Latin American"
Fratelli Cafe,4.5,2113,Los Angeles,CA,fCfkMf27m2PcTWXLTrLM7Q,34.083342964773145,-118.34637941390439," Coffee & Tea, Breakfast & Brunch, Sandwiches"
OUI MELROSE,4.5,242,Los Angeles,CA,bOvnQYw5JJDhpOn70_RUkQ,34.083653,-118.3419599," Sandwiches, American (New), Mediterranean"
Karibbean Cuisine,5.0,8,Los Angeles,CA,LkxqUpoIxcd0tpIuSdeo-g,34.0445191,-118.3581024, Dominican
Lemon Grove,5.0,3,Los Angeles,CA,o3yPf6EwWGYNcN3OnZFOPg,34.102376584352314,-118.3273158," Bars, Asian Fusion, Thai"
Superba Food + Bread,4.5,237,Los Angeles,CA,H57RMyO6BWWh-lJZAsZGVA,34.09761883,-118.33281533," American (New), Breakfast & Brunch, Bakeries"
Saint Felix,4.0,846,Los Angeles,CA,Rd_IrRGjqsxsvaXoaTqcVw,34.0999892586258,-118.329377017197," American (New), Cocktail Bars"
LA Rose Cafe,4.0,1115,Los Angeles,CA,cD57FLQ-v-brcFOLZ0X0cQ,34.095634,-118.292729, Filipino
Eszett,4.0,104,Los Angeles,CA,d3XUaeoSV8kIRKDPMibyiA,34.088908,-118.276942," Wine Bars, American (New)"
Bari,4.5,82,Los Angeles,CA,oGryd1oetQO0gUuikkh90A,34.07296,-118.37396," Italian, Cocktail Bars, Tapas/Small Plates"
The Lonely Oyster,4.0,36,Los Angeles,CA,T-9I7nKH2rBbNpq9uPwT8w,34.07727,-118.2567," Breakfast & Brunch, Cocktail Bars"
Howlin' Ray's,4.5,7334,Los Angeles,CA,7O1ORGY36A-2aIENyaJWPg,34.061517,-118.239716," Southern, Chicken Shop, American (Traditional)"
Johnny's West Adams,4.0,382,Los Angeles,CA,rYPQv2bCk2orpbHCBfY5Uw,34.03291107460704,-118.33291174428074," American (Traditional), Bars"
Le Coupe,5.0,14,Los Angeles,CA,abI463RX-RfsRhIE7iGikg,34.08382410759666,-118.3093789," Southern, Chicken Shop, Salad"
Bottega Louie - WEHO,4.0,507,Los Angeles,CA,g7bvMWpWSNxSoq8WxfEcZQ,34.083913,-118.384953," Bakeries, Desserts, Italian"
Star Night,4.0,302,Los Angeles,CA,k7uDQ8CqreIA-Ez2v62-aQ,34.06193,-118.3107," Karaoke, Bars, Gastropubs"
71 Above,4.0,2282,Los Angeles,CA,nGlLaC0p0naSlgdy2-HCVw,34.0511203,-118.2543221," American (Traditional), Cocktail Bars"
Rosaline,4.0,1054,West Hollywood,CA,3Pd3knaB6HW1-0TXXVyiuA,34.0825699,-118.37588," Peruvian, Cocktail Bars"
Habachihana Grill,4.0,268,Los Angeles,CA,_a1mVQvn7Ucp7aKm7XaAig,34.040901,-118.259679," Steakhouses, Seafood, Teppanyaki"
Needle,4.5,76,Los Angeles,CA,-bKSg3-kXFSFUA7baQndMw,34.091912657193426,-118.27935667616639, Chinese
Carlitos Gardel Argentine Steakhouse,4.5,1177,Los Angeles,CA,h9PSJ18gQ4kos8A0XAGlng,34.0839249,-118.3630799," Argentine, Steakhouses"
Manuela,4.0,1463,Los Angeles,CA,qA9Dqezi-kqbIBtM3c07Ew,34.04608,-118.23489," American (New), Breakfast & Brunch, Bars"
3rd Base LA,4.0,360,Los Angeles,CA,_hHzOXG4SRkBIND2LZf4aQ,34.09956,-118.32916," Sports Bars, Lounges, American (Traditional)"
Sidewalk Grill,4.5,1141,Los Angeles,CA,nqYbRGPmYA0X_sjSBtXpgw,34.1026289157429,-118.291943635377," Mediterranean, Wraps, Kebab"
Mokupuni,5.0,1,Los Angeles,CA,JRb7dujShIS-raj42T6-iw,34.09747,-118.28574," Hawaiian, Food Stands"
Egg Tuck,4.5,800,Los Angeles,CA,X9KlLFQGSgC0A-q-p1Hu6Q,34.0613285,-118.30001869719945," Breakfast & Brunch, Coffee & Tea, Sandwiches"
Petit Trois,4.0,1034,Los Angeles,CA,-ZcCFCdqMwOPXItB3REecA,34.084159,-118.338194, French
Bacari W 3rd,4.5,850,Los Angeles,CA,y2eWXL2qbTW8tXyrEsfEqQ,34.07172,-118.36485," American (New), Breakfast & Brunch, Italian"
La Cevicheria,4.5,971,Los Angeles,CA,ru7TAEo7lkbxMmkbFRGFMw,34.04768,-118.32254," Seafood, Latin American"
Full Moon House,4.0,410,Los Angeles,CA,bJeMe365G76fcnFqBHxppg,34.0660399376759,-118.237620422377," Chinese, Seafood"
Home Restaurant - Los Feliz,4.0,3521,Los Angeles,CA,eoOJbi94rj9277dG7WIv0A,34.10296,-118.28719," Breakfast & Brunch, Coffee & Tea, American (New)"
Zinqué,4.0,948,West Hollywood,CA,ztNZZHKmJOyVXM32WiyXcQ,34.081263,-118.382661," French, Wine Bars, Breakfast & Brunch"
Langer's Delicatessen,4.5,4204,Los Angeles,CA,qCJ2LFfNbXYBIcjXNva1cA,34.05609,-118.27658," Delis, Sandwiches"
Loupiotte Kitchen,4.5,286,Los Angeles,CA,IO94U9tWIVuw93g2ahEyEQ,34.1023816986214,-118.291617810179," French, Wine Bars, Breakfast & Brunch"
Causita,4.0,104,Los Angeles,CA,PAIj6CphMmyKr5WH0nDWIg,34.09083,-118.27792," Peruvian, Japanese"
Atrium,4.0,447,Los Angeles,CA,iVyVs8L6xTtZZb1k050Ajg,34.1040989,-118.291367," American (New), Cocktail Bars"
Kuya Lord,4.5,63,Los Angeles,CA,zescAlXv7_bcqcxi38ZeHw,34.083709225038746,-118.3094905," Barbeque, Filipino, Noodles"
Seabirds Kitchen - Los Feliz,4.5,44,Los Angeles,CA,JZ7Co0icWfR_g6wZ454j8w,34.11115,-118.28727," Vegan, Tacos, Salad"
AOC,4.0,2476,Los Angeles,CA,jVYU9iXvBMiC2A4H12Azfg,34.073416,-118.381928," Cocktail Bars, American (New), Tapas/Small Plates"
Poppy + Rose,4.0,2980,Los Angeles,CA,NlT-6hFP0_6hPo36AW2lIA,34.04068054658935,-118.2500803705502," Breakfast & Brunch, American (New), Comfort Food"
El Zarape,4.0,833,Los Angeles,CA,Osce6shPInsQLAhtJEJnng,34.09544,-118.30256, Mexican
Rao's Hollywood,4.0,608,Los Angeles,CA,7e9oi3zq_6pP_LU9YPEXLg,34.0891889,-118.3329546312828, Italian
Izakaya Osen - Los Angeles,4.5,1406,Los Angeles,CA,us0WnDOySVXXXwCqs0AaCw,34.08330553596485,-118.27321390780607," Sushi Bars, Izakaya, Seafood"
ATTITUDE CAFE,5.0,160,Los Angeles,CA,McoTPgG-j-K4Ad-K2myQqg,34.07020290605146,-118.3517019," American (Traditional), Breakfast & Brunch"
